Fecha,DES,EST,MEN,FAM
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,0,0,0,0
3/7/2020,0,0,0,0
3/8/2020,0,0,0,0
3/9/2020,0,0,0,0
3/10/2020,0,0,0,0
3/11/2020,0,0,0,0
3/12/2020,0,0,0,0
3/13/2020,0,0,0,0
3/14/2020,0,0,0,0
3/15/2020,0,0,0,0
3/16/2020,0,0,0,0
3/17/2020,0,0,0,0
3/18/2020,0,0,0,0
3/19/2020,0,0,0,0
3/20/2020,10,3,3,1
3/21/2020,60,2,2,4
3/22/2020,11,0,1,1
3/23/2020,2,0,2,2
3/24/2020,1,0,4,2
3/25/2020,2,0,3,2
3/26/2020,1,0,2,2
3/27/2020,1,0,0,4
3/28/2020,2,0,0,8
3/29/2020,3,0,0,12
3/30/2020,1,0,0,22
3/31/2020,0,0,0,16
